 sa4_code16,state,city,region_code,coordinate, sa4_name16,,,
101,NSW,New South Wales Other Regions,09,"147.7108,-37.5051,150.3791,-33.8878",Capital Region,,,
102,NSW,New South Wales Other Regions,09,"150.9841,-33.5706,151.6305,-33.0437",Central Coast,,,
103,NSW,New South Wales Other Regions,09,"146.0540,-34.3172,150.6198,-31.7787",Central West,,,
104,NSW,New South Wales Other Regions,09,"152.1681,-30.5671,153.3948,-28.9700",Coffs Harbour - Grafton,,,
105,NSW,New South Wales Other Regions,09,"140.9993,-33.3667,150.1106,-28.9986",Far West and Orana,,,
106,NSW,New South Wales Other Regions,09,"149.7916,-33.1389,152.3369,-31.5537",Hunter Valley exc Newcastle,,,
107,NSW,New South Wales Other Regions,09,"150.5275,-34.7922,151.0662,-34.0934",Illawarra,,,
108,NSW,New South Wales Other Regions,09,"151.4028,-32.6158,159.1092,-30.5006",Mid North Coast,,The coordinates for each state,
109,NSW,New South Wales Other Regions,09,"141.0017,-36.1299,147.8197,-32.7485",Murray,,ACT,"148.7628,-35.9208,149.3993,-35.1244"
110,NSW,New South Wales Other Regions,09,"148.6762,-31.8582,152.6314,-28.2492",New England and North West,,NSW,"140.9993,-37.5051,159.1092,-28.1570"
111,NSW,New South Wales Other Regions,09,"151.3315,-33.2028,151.8788,-32.7798",Newcastle and Lake Macquarie,,NT,"129.0004,-25.9995,138.0012,-10.9659"
112,NSW,New South Wales Other Regions,09,"152.3737,-29.3418,153.6387,-28.1570",Richmond - Tweed,,QSL,"137.9960,-29.1779,153.5522,-9.1422"
113,NSW,New South Wales Other Regions,09,"144.8511,-36.8061,148.8087,-32.6713",Riverina,,SA,"129.0013,-38.0626,141.0030,-25.9961"
114,NSW,New South Wales Other Regions,09,"149.9773,-35.5684,150.8498,-34.2126",Southern Highlands and Shoalhaven,,TAS,"143.8189,-43.7405,148.4987,-39.2037"
115,NSW,Sydney,02,"150.3567,-33.7730,151.1556,-32.9961",Sydney - Baulkham Hills and Hawkesbury,,VIC,"140.9617,-39.1592,149.9767,-33.9806"
116,NSW,Sydney,02,"150.7596,-33.8340,150.9669,-33.6429",Sydney - Blacktown,,WA,"112.9211,-35.1348,129.0019,-13.6895"
117,NSW,Sydney,02,"151.1366,-33.9848,151.2367,-33.8509",Sydney - City and Inner South,,,
118,NSW,Sydney,02,"151.2112,-34.0018,151.2878,-33.8325",Sydney - Eastern Suburbs,,,
119,NSW,Sydney,02,"150.9660,-34.0060,151.1680,-33.8820",Sydney - Inner South West,,,
120,NSW,Sydney,02,"151.0567,-33.9163,151.1966,-33.8228",Sydney - Inner West,,,
121,NSW,Sydney,02,"151.0581,-33.8536,151.2689,-33.5073",Sydney - North Sydney and Hornsby,,,
122,NSW,Sydney,02,"151.1608,-33.8239,151.3430,-33.5719",Sydney - Northern Beaches,,,
123,NSW,Sydney,02,"150.4183,-34.3312,150.9967,-33.9408",Sydney - Outer South West,,,
124,NSW,Sydney,02,"149.9719,-34.3081,150.8412,-33.4857",Sydney - Outer West and Blue Mountains,,,
125,NSW,Sydney,02,"150.9124,-33.8990,151.0841,-33.7571",Sydney - Parramatta,,,
126,NSW,Sydney,02,"151.0375,-33.8449,151.1803,-33.7192",Sydney - Ryde,,,
127,NSW,Sydney,02,"150.6179,-34.0510,150.9981,-33.8207",Sydney - South West,,,
128,NSW,Sydney,02,"150.9366,-34.1723,151.2319,-33.9772",Sydney - Sutherland,,,
201,VIC,Victoria Other Regions,10,"143.0630,-37.9885,144.4906,-36.6988",Ballarat,,,
202,VIC,Victoria Other Regions,10,"143.3152,-37.4589,144.8536,-35.9059",Bendigo,,,
203,VIC,Victoria Other Regions,10,"143.6221,-38.5794,144.7202,-37.7812",Geelong,,,
204,VIC,Victoria Other Regions,10,"144.5304,-37.8298,148.2207,-35.9285",Hume,,,
205,VIC,Victoria Other Regions,10,"145.1094,-39.1592,149.9763,-36.6124",Latrobe - Gippsland,,,
206,VIC,Melbourne,01,"144.8889,-37.8917,145.0453,-37.7325",Melbourne - Inner,,,
207,VIC,Melbourne,01,"144.9993,-37.8759,145.1841,-37.7339",Melbourne - Inner East,,,
208,VIC,Melbourne,01,"144.9834,-38.0850,145.1563,-37.8374",Melbourne - Inner South,,,
209,VIC,Melbourne,01,"144.8807,-37.7851,145.5800,-37.2629",Melbourne - North East,,,
210,VIC,Melbourne,01,"144.4577,-37.7761,144.9853,-37.1751",Melbourne - North West,,,
211,VIC,Melbourne,01,"145.1569,-37.9750,145.8784,-37.5260",Melbourne - Outer East,,,
212,VIC,Melbourne,01,"145.0795,-38.3325,145.7651,-37.8533",Melbourne - South East,,,
213,VIC,Melbourne,01,"144.3336,-38.0046,144.9165,-37.5464",Melbourne - West,,,
214,VIC,Victoria Other Regions,10,"144.6514,-38.5030,145.2617,-38.0674",Mornington Peninsula,,,
215,VIC,Victoria Other Regions,10,"140.9617,-37.8366,144.4182,-33.9804",North West,,,
216,VIC,Victoria Other Regions,10,"144.2593,-36.7626,146.2465,-35.8020",Shepparton,,,
217,VIC,Victoria Other Regions,10,"140.9657,-38.8577,143.9461,-37.0873",Warrnambool and South West,,,
301,QLD,Brisbane,03,"153.0879,-27.7408,153.5467,-27.3207",Brisbane - East,,,
302,QLD,Brisbane,03,"152.9753,-27.4457,153.1605,-27.2787",Brisbane - North,,,
303,QLD,Brisbane,03,"152.9713,-27.6604,153.1918,-27.4575",Brisbane - South,,,
304,QLD,Brisbane,03,"152.7986,-27.6025,153.0206,-27.3933",Brisbane - West,,,
305,QLD,Brisbane,03,"152.9583,-27.4938,153.0897,-27.4040",Brisbane Inner City,,,
306,QLD,Queensland Other Regions,11,"144.7408,-18.5781,146.3587,-15.9029",Cairns,,,
307,QLD,Queensland Other Regions,11,"146.8633,-29.1779,152.4926,-24.8811",Darling Downs - Maranoa,,,
