age_45_49_p,age_50_54_p,age_10_14_p,age_25_29_p,age_15_19_p,age_5_9_p,age_35_39_p,age_40_44_p,age_30_34_p,age_20_24_p,age_0_4_p,sa4_name16,sa4_code16,state,city
15393,16114,13314,10802,12659,13579,11572,13841,11539,10364,11866,Capital Region,101,NSW,Other
21739,21892,20329,17195,19930,20920,18506,20870,18078,18174,19181,Central Coast,102,NSW,Other
13279,13738,13355,11480,13093,14263,11222,12426,11619,11564,13290,Central West,103,NSW,Other
8592,9569,8205,6296,8016,8527,6664,8026,6456,6135,7129,Coffs Harbour - Grafton,104,NSW,Other
7154,7760,7011,7184,6502,7987,6066,6595,6822,6453,7635,Far West and Orana,105,NSW,Other
17363,17417,17309,15600,16410,18697,15484,16992,16005,15088,17264,Hunter Valley exc Newcastle,106,NSW,Other
18880,19648,17790,18102,18979,18506,17522,19271,17796,20855,17470,Illawarra,107,NSW,Other
12739,14490,12246,8570,11701,12199,9218,11492,8700,8522,10261,Mid North Coast,108,NSW,Other
7266,7576,7191,6079,6902,7348,6070,6768,6330,6312,6905,Murray,109,NSW,Other
11322,12081,11795,10224,11589,12281,9607,10654,9985,10511,11556,New England and North West,110,NSW,Other
23255,23307,20424,23263,21430,21626,21447,22887,23078,24899,21371,Newcastle and Lake Macquarie,111,NSW,Other
15820,17163,14231,10392,13774,14429,12819,14953,11816,10593,12416,Richmond - Tweed,112,NSW,Other
9759,10123,10451,9617,10148,10668,8724,9457,9363,9761,9965,Riverina,113,NSW,Other
8961,9789,8616,6524,8322,8592,6881,8256,6748,6505,7480,Southern Highlands and Shoalhaven,114,NSW,Other
17474,16365,16835,10990,16623,16771,14803,17381,11970,14165,13347,Sydney - Baulkham Hills and Hawkesbury,115,NSW,Sydney
21960,20384,23297,24386,23419,26865,27451,24452,28337,22967,27162,Sydney - Blacktown,116,NSW,Sydney
18917,16413,7589,49214,13077,9572,29246,22582,42863,37189,13091,Sydney - City and Inner South,117,NSW,Sydney
17506,15390,11952,26645,13370,14000,22264,19372,26516,21998,14801,Sydney - Eastern Suburbs,118,NSW,Sydney
36101,35680,32743,48099,34280,36148,40026,37576,46632,41586,38194,Sydney - Inner South West,119,NSW,Sydney
19756,18864,13216,29042,13724,15633,23358,21567,27827,22842,17385,Sydney - Inner West,120,NSW,Sydney
30023,27186,24471,25788,23610,26399,31507,31352,31029,22159,24103,Sydney - North Sydney and Hornsby,121,NSW,Sydney
19537,17854,16210,13491,14412,17967,17883,20311,16083,12554,15672,Sydney - Northern Beaches,122,NSW,Sydney
17001,16682,18588,17711,18115,19994,18046,18386,19254,17847,19402,Sydney - Outer South West,123,NSW,Sydney
20540,19856,19846,20796,20179,21319,20386,20970,21295,20301,20969,Sydney - Outer West and Blue Mountains,124,NSW,Sydney
26703,25653,24383,42126,24671,29901,36896,29627,45874,32185,34188,Sydney - Parramatta,125,NSW,Sydney
11818,11818,9533,14376,10835,10693,13394,12469,14474,14231,10672,Sydney - Ryde,126,NSW,Sydney
27342,26941,28236,28900,29037,28746,27494,27783,29236,29874,28407,Sydney - South West,127,NSW,Sydney
15352,14836,13655,12691,13095,14308,14195,15887,13493,12667,13585,Sydney - Sutherland,128,NSW,Sydney
10445,10845,9564,8816,9654,10083,8847,9895,8697,9873,9318,Ballarat,201,VIC,Other
10093,10382,9326,8520,9372,9752,8659,9550,8590,9235,9228,Bendigo,202,VIC,Other
18369,18094,16918,16701,17118,17636,16910,18633,17390,17452,17250,Geelong,203,VIC,Other
11220,12147,10392,8368,10287,10545,8951,10329,8755,8501,9463,Hume,204,VIC,Other
17293,18625,15871,13852,15423,16716,13921,15420,14565,13540,15228,Latrobe - Gippsland,205,VIC,Other
35749,30598,18491,85484,27570,21874,50392,39620,74350,65808,27028,Melbourne - Inner,206,VIC,Melbourne
25579,24215,21296,25796,24314,20584,21334,23375,22516,28564,17415,Melbourne - Inner East,207,VIC,Melbourne
31209,27385,24592,25575,23090,25929,27040,30045,26653,25368,23346,Melbourne - Inner South,208,VIC,Melbourne
34278,31207,28910,36841,29178,32358,36313,35452,39582,33852,34572,Melbourne - North East,209,VIC,Melbourne
25035,23222,23136,26996,23121,25170,26038,24868,28210,24425,26454,Melbourne - North West,210,VIC,Melbourne
36184,34954,30384,30526,31809,31003,32784,34991,32903,30848,30166,Melbourne - Outer East,211,VIC,Melbourne
50553,46028,46514,56574,50095,50825,53710,51919,59816,58490,52811,Melbourne - South East,212,VIC,Melbourne
48389,42640,43768,59221,42871,52832,60787,53923,67317,50091,58360,Melbourne - West,213,VIC,Melbourne
20606,19475,16917,15413,16958,17929,16915,19575,16562,15920,17020,Mornington Peninsula,214,VIC,Other
9762,10346,8938,8404,9101,9219,7637,8531,7981,7825,8524,North West,215,VIC,Other
8473,8886,8197,7036,8377,8398,6780,7842,7036,6706,7871,Shepparton,216,VIC,Other
8272,8864,7664,6145,7635,7573,6313,7311,6149,6408,6783,Warrnambool and South West,217,VIC,Other
16384,16071,14820,11478,14560,15326,13979,16238,13361,12324,13221,Brisbane - East,301,QLD,Brisbane
