secondary_tot_p,uni_other_tert_instit_tot_p,tec_furt_educ_inst_tot_p,tot_p,infants_primary_tot_p,other_type_educ_instit_tot_p,sa4_code16,sa4_name16,state,city,region_code
13329,5184,3961,63776,17446,1137,101,Capital Region,NSW,New South Wales Other Regions,09
20659,10275,6262,94365,27203,1952,102,Central Coast,NSW,New South Wales Other Regions,09
13142,5238,4316,65862,17932,862,103,Central West,NSW,New South Wales Other Regions,09
8293,2605,2981,39254,10837,729,104,Coffs Harbour - Grafton,NSW,New South Wales Other Regions,09
6443,1832,2268,35478,9568,471,105,Far West and Orana,NSW,New South Wales Other Regions,09
16810,5975,5084,78730,23628,1354,106,Hunter Valley exc Newcastle,NSW,New South Wales Other Regions,09
18847,16427,5822,90647,24124,1774,107,Illawarra,NSW,New South Wales Other Regions,09
12514,3296,3911,58106,15741,945,108,Mid North Coast,NSW,New South Wales Other Regions,09
7084,2565,2203,34330,9398,592,109,Murray,NSW,New South Wales Other Regions,09
11366,5517,3168,57594,15417,762,110,New England and North West,NSW,New South Wales Other Regions,09
21560,19334,7302,105360,28358,1898,111,Newcastle and Lake Macquarie,NSW,New South Wales Other Regions,09
14584,6417,4508,70729,18380,1204,112,Richmond - Tweed,NSW,New South Wales Other Regions,09
10196,4339,3184,49437,13537,791,113,Riverina,NSW,New South Wales Other Regions,09
8750,2904,2403,41081,11114,759,114,Southern Highlands and Shoalhaven,NSW,New South Wales Other Regions,09
18693,12453,3806,72975,22534,1521,115,Sydney - Baulkham Hills and Hawkesbury,NSW,Sydney,02
24567,15689,6877,110874,33465,3116,116,Sydney - Blacktown,NSW,Sydney,02
8282,37745,8101,111224,11332,7913,117,Sydney - City and Inner South,NSW,Sydney,02
12656,25297,3948,91587,17266,2958,118,Sydney - Eastern Suburbs,NSW,Sydney,02
36075,36877,11693,182012,45055,7199,119,Sydney - Inner South West,NSW,Sydney,02
14579,24265,5227,90909,19481,3585,120,Sydney - Inner West,NSW,Sydney,02
27896,26153,5843,126547,34653,3272,121,Sydney - North Sydney and Hornsby,NSW,Sydney,02
17387,10742,4223,76898,23271,1930,122,Sydney - Northern Beaches,NSW,Sydney,02
18861,9898,5066,82193,25445,1838,123,Sydney - Outer South West,NSW,Sydney,02
20630,11544,6476,92966,27351,1941,124,Sydney - Outer West and Blue Mountains,NSW,Sydney,02
26408,27602,9246,144108,35910,5625,125,Sydney - Parramatta,NSW,Sydney,02
11434,16749,3546,58105,13832,1526,126,Sydney - Ryde,NSW,Sydney,02
30989,19213,8678,133446,35724,4631,127,Sydney - South West,NSW,Sydney,02
14680,9502,3790,61971,18907,1234,128,Sydney - Sutherland,NSW,Sydney,02
9827,6236,2069,46951,12965,1090,201,Ballarat,VIC,Victoria Other Regions,10
9530,4826,2414,45781,12332,931,202,Bendigo,VIC,Victoria Other Regions,10
17911,11972,4735,83681,22748,2256,203,Geelong,VIC,Victoria Other Regions,10
10804,3067,3194,49209,13511,1139,204,Hume,VIC,Victoria Other Regions,10
15965,5146,4110,76537,21103,1710,205,Latrobe - Gippsland,VIC,Victoria Other Regions,10
19453,73397,11670,200348,26852,8179,206,Melbourne - Inner,VIC,Melbourne,01
25702,32419,5328,118241,27935,3514,207,Melbourne - Inner East,VIC,Melbourne,01
26447,26162,5451,125390,34385,3197,208,Melbourne - Inner South,VIC,Melbourne,01
30422,28438,8783,152193,41034,4753,209,Melbourne - North East,VIC,Melbourne,01
24257,16388,6616,113525,31191,4415,210,Melbourne - North West,VIC,Melbourne,01
34246,21296,9186,143099,41071,4363,211,Melbourne - Outer East,VIC,Melbourne,01
50772,44971,15889,242248,63970,9101,212,Melbourne - South East,VIC,Melbourne,01
45256,36167,12759,232247,63916,10211,213,Melbourne - West,VIC,Melbourne,01
17491,7893,5171,80616,23416,2181,214,Mornington Peninsula,VIC,Victoria Other Regions,10
9456,2246,2041,43107,11577,829,215,North West,VIC,Victoria Other Regions,10
8535,2005,2229,38396,10640,856,216,Shepparton,VIC,Victoria Other Regions,10
7918,2066,1908,34640,9865,677,217,Warrnambool and South West,VIC,Victoria Other Regions,10
15438,8150,3443,62622,20015,1470,301,Brisbane - East,QLD,Brisbane,03
11780,11116,3505,57861,15980,1576,302,Brisbane - North,QLD,Brisbane,03
19809,30456,6881,109481,25921,3528,303,Brisbane - South,QLD,Brisbane,03
12456,20531,2310,62730,15990,1148,304,Brisbane - West,QLD,Brisbane,03
11840,28842,4710,86494,14727,3613,305,Brisbane Inner City,QLD,Brisbane,03
15208,6394,3481,74436,20539,1733,306,Cairns,QLD,Queensland Other Regions,11
7959,1853,1606,37194,11387,667,307,Darling Downs - Maranoa,QLD,Queensland Other Regions,11
14884,5574,3111,68556,20546,1478,308,Central Queensland,QLD,Queensland Other Regions,11
34620,25964,10358,174071,44988,5022,309,Gold Coast,QLD,Gold Coast,04
22253,11410,6253,106063,30778,2775,310,Ipswich,QLD,Queensland Other Regions,11
22319,9133,6200,98267,30583,2694,311,Logan - Beaudesert,QLD,Queensland Other Regions,11
10547,3621,2214,52269,15206,1002,312,Mackay - Isaac - Whitsunday,QLD,Queensland Other Regions,11
15138,5696,3725,68147,20512,1932,313,Moreton Bay - North,QLD,Queensland Other Regions,11
14048,7867,3326,59625,20316,1480,314,Moreton Bay - South,QLD,Queensland Other Regions,11
4139,1140,943,25339,7867,403,315,Queensland - Outback,QLD,Queensland Other Regions,11
22123,12509,4946,97327,28644,2361,316,Sunshine Coast,QLD,Queensland Other Regions,11
10628,6711,2554,47392,13421,1206,317,Toowoomba,QLD,Queensland Other Regions,11
15328,11004,3536,73257,19918,1543,318,Townsville,QLD,Queensland Other Regions,11
17491,4967,3738,79128,22915,1775,319,Wide Bay,QLD,Queensland Other Regions,11
16926,24439,4945,91530,23907,1925,401,Adelaide - Central and Hills,SA,Adelaide,05
24315,17084,9738,125261,38848,3715,402,Adelaide - North,SA,Adelaide,05
20251,18824,6377,101492,30580,2325,403,Adelaide - South,SA,Adelaide,05
11233,13441,4668,63863,16967,1792,404,Adelaide - West,SA,Adelaide,05
6197,1449,1568,28695,9635,479,405,Barossa - Yorke - Mid North,SA,South Australia Other Regions,12
4294,1062,1337,24445,7523,361,406,South Australia - Outback,SA,South Australia Other Regions,12
9952,2394,2723,48720,15779,872,407,South Australia - South East,SA,South Australia Other Regions,12
12267,2634,2956,51789,15822,885,501,Bunbury,WA,Western Australia Other Regions,14
5861,2244,1588,26629,7984,647,502,Mandurah,WA,Western Australia Other Regions,14
10007,15367,2935,57661,11828,1680,503,Perth - Inner,WA,Perth,06
16219,9916,5012,76860,21114,2036,504,Perth - North East,WA,Perth,06
36306,25770,10442,163845,47467,4307,505,Perth - North West,WA,Perth,06
30619,27542,11059,154575,40146,4473,506,Perth - South East,WA,Perth,06
26464,18753,7112,125500,35610,2862,507,Perth - South West,WA,Perth,06
7687,1452,2076,38594,11067,653,509,Western Australia - Wheat Belt,WA,Western Australia Other Regions,14
4339,1365,1552,32041,8248,451,510,Western Australia - Outback (North),WA,Western Australia Other Regions,14
7183,1641,2029,37357,10466,501,511,Western Australia - Outback (South),WA,Western Australia Other Regions,14
13303,11028,4569,66449,19542,1344,601,Hobart,TAS,Tasmania Other Regions,13
8082,4813,3048,40862,11798,735,602,Launceston and North East,TAS,Tasmania Other Regions,13
1911,598,640,9853,2948,208,603,South East,TAS,Tasmania Other Regions,13
6137,1775,2354,29509,9458,506,604,West and North West,TAS,Tasmania Other Regions,13
7912,6309,2067,47501,11171,1171,701,Darwin,NT,Northern Territory Other Regions,15
5285,1715,941,32855,9124,460,702,Northern Territory - Outback,NT,Northern Territory Other Regions,15
24183,34230,8156,131450,32804,3163,801,Australian Capital Territory,ACT,Canberra,07
